run,game,pass,turn,level,turns_since_level_start,rounds,asst_chars,loose,any_field,World model,Goal model,Action model,Recent findings,Open questions,Plan,Cross-level notes
20260830_104347_prompt-static-to-system,ar25-0c556536,0,34,5,5,1,318,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,35,6,0,1,111,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,36,6,1,1,373,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,37,6,2,1,154,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,38,6,3,1,388,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,0,39,6,4,2,232,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,1,1,0,2,682,1,1,1,0,0,0,0,1,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,2,1,1,1,411,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,3,1,2,1,714,1,1,0,0,0,0,0,1,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,4,2,0,1,419,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,5,2,1,1,1026,1,1,0,0,0,0,0,1,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,6,2,2,1,843,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,7,2,3,1,517,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,8,2,4,1,110,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,9,2,5,1,266,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,10,2,6,1,839,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,11,2,7,1,584,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,12,3,0,1,429,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,13,3,1,2,1261,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,14,3,2,1,293,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,15,3,3,1,670,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,16,3,4,1,315,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,17,3,5,1,564,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,18,3,6,1,631,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,19,4,0,1,610,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,20,4,1,3,2304,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,21,4,2,1,264,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,22,5,0,1,263,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,23,5,1,7,4100,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,24,5,2,1,606,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,25,5,3,1,245,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,26,5,4,1,295,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,27,5,5,1,347,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,28,6,0,1,122,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,29,6,1,6,3407,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,1,30,6,2,4,1373,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,1,1,0,1,574,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,2,1,1,1,348,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,3,1,2,1,611,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,4,1,3,1,368,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,5,1,4,1,259,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,6,1,5,1,242,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,7,1,6,1,413,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,8,1,7,1,233,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,9,1,8,1,197,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,10,1,9,1,167,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,11,1,10,1,290,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,12,1,11,2,676,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,13,1,12,1,368,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,14,1,13,2,742,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,15,1,14,1,147,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,16,1,15,1,207,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,17,1,16,1,402,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,18,1,17,1,507,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,19,1,18,2,406,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,20,1,19,1,1906,1,1,0,1,0,0,0,1,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,21,1,20,1,300,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,22,1,21,1,242,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,23,1,22,1,136,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,24,1,23,1,71,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,25,1,24,1,111,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,26,1,25,1,75,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,27,1,26,1,85,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,28,1,27,1,78,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,29,1,28,1,39,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,30,1,29,1,68,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,31,1,30,1,52,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,32,1,31,1,44,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,33,1,32,1,576,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,34,1,33,1,285,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,35,1,34,5,1420,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,36,1,35,1,83,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,37,1,36,1,87,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,38,2,0,1,140,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,39,2,1,3,1008,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,40,2,2,1,323,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,41,2,3,2,813,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,2,42,2,4,1,0,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,1,1,0,1,727,1,1,1,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,2,1,1,1,99,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,3,1,2,2,846,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,4,1,3,1,278,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,5,1,4,1,376,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,6,2,0,1,216,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,7,2,1,1,731,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,8,2,2,1,278,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,9,2,3,1,299,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,10,2,4,1,389,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,11,2,5,1,289,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,12,2,6,1,115,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,13,2,7,1,482,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,14,2,8,6,3031,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,15,2,9,2,767,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,16,2,10,1,876,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,17,2,11,1,394,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,18,2,12,1,417,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,19,2,13,1,664,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,20,2,14,5,1956,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,21,2,15,1,1061,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,22,2,16,2,866,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,23,2,17,1,484,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,24,2,18,1,363,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,3,25,2,19,2,574,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,1,1,0,1,914,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,2,1,1,1,584,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,3,1,2,1,649,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,4,2,0,1,306,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,5,2,1,3,1111,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,6,2,2,1,449,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,7,2,3,1,172,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,8,2,4,1,265,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,9,2,5,1,619,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,10,2,6,1,209,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,11,2,7,1,694,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,12,2,8,1,225,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,13,2,9,1,384,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,14,3,0,1,324,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,15,3,1,2,846,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,16,3,2,1,153,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,17,3,3,1,346,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,18,3,4,1,379,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,19,3,5,1,366,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,20,3,6,1,160,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,21,3,7,1,192,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,22,3,8,1,269,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,23,3,9,1,415,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,24,3,10,1,165,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,25,3,11,1,302,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,26,3,12,1,248,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,27,3,13,4,1438,1,1,0,0,0,0,0,1,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,28,4,0,1,581,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,29,4,1,1,77,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,30,4,2,1,436,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,31,4,3,1,201,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,32,4,4,1,722,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,33,5,0,1,498,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,34,5,1,1,624,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,35,5,2,1,95,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,36,5,3,4,1487,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,37,5,4,2,621,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,38,5,5,1,177,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,ar25-0c556536,4,39,5,6,3,446,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,1,1,0,2,842,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,2,1,1,1,177,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,3,1,2,1,228,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,4,1,3,1,230,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,5,1,4,1,562,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,6,1,5,1,476,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,7,1,6,1,254,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,8,1,7,1,378,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,9,1,8,1,118,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,10,1,9,2,1229,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,11,1,10,1,636,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,12,1,11,2,5024,1,1,0,1,0,0,0,1,1
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,13,1,12,1,564,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,14,1,13,1,280,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,15,1,14,2,851,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,16,1,15,1,149,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,17,1,16,1,0,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,18,1,17,3,1750,1,1,0,0,0,0,0,1,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,19,1,18,1,188,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,20,1,19,1,323,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,21,1,20,1,253,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,22,1,21,2,1190,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,23,1,22,1,152,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,24,1,23,1,260,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,25,1,24,1,982,0,1,0,0,0,0,0,1,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,26,1,25,1,206,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,27,1,26,3,1560,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,28,1,27,1,949,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,29,1,28,1,0,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,30,1,29,1,797,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,31,1,30,1,58,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,32,1,31,1,58,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,33,1,32,1,243,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,34,1,33,1,807,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,35,1,34,1,315,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,36,1,35,1,66,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,37,1,36,1,44,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,38,1,37,1,119,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,39,1,38,1,334,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,40,1,39,1,44,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,41,1,40,1,44,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,42,1,41,1,39,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,43,1,42,1,31,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,44,1,43,1,186,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,0,45,1,44,1,135,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,1,1,0,2,872,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,2,1,1,1,309,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,3,1,2,1,161,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,4,1,3,1,353,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,5,1,4,1,217,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,6,1,5,1,308,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,7,1,6,1,724,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,8,1,7,1,210,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,9,1,8,2,1310,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,10,1,9,1,491,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,11,1,10,1,604,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,12,2,0,1,415,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,13,2,1,1,515,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,14,2,2,1,1057,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,15,2,3,8,2397,1,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,16,2,4,1,530,1,1,0,0,0,0,0,1,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,17,2,5,1,190,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,18,2,6,1,162,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,19,2,7,1,753,1,1,0,0,0,0,0,1,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,20,2,8,1,209,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,21,2,9,4,1288,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,22,2,10,1,143,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,23,2,11,1,172,0,0,0,0,0,0,0,0,0
20260830_104347_prompt-static-to-system,bp35-0a0ad940,1,24,2,12,1,601,1,0,0,0,0,0,0,0,0
