game,trial,images_in_request,user_messages,message_count,log_bytes,naive_tokens_per_image,exact_tokens_per_image,wasted_tokens_per_image,wasted_tokens_in_request
g50t-5849a774,0,4,4,21,117008,517,66,451,1804
g50t-5849a774,1,4,4,13,85789,521,66,455,1820
g50t-5849a774,2,5,5,16,89189,515.9,66,449.9,2249.4
g50t-5849a774,3,10,10,31,86801,519.4,66,453.4,4533.8
g50t-5849a774,4,5,5,16,80216,516.2,66,450.2,2251.2
ka59-38d34dbb,0,5,5,20,88871,498.2,66,432.2,2161.2
ka59-38d34dbb,1,6,6,21,93864,499.8,66,433.8,2602.5
ka59-38d34dbb,2,9,10,33,87785,462.2,66,396.2,3566.2
ka59-38d34dbb,3,6,6,29,97140,497.5,66,431.5,2589.0
ka59-38d34dbb,4,9,9,30,103315,495.4,66,429.4,3864.4
lf52-271a04aa,0,8,8,25,93592,587,66,521,4168
lf52-271a04aa,1,5,5,16,78917,576.6,66,510.6,2553.1
lf52-271a04aa,2,9,9,32,92644,588.9,66,522.9,4705.9
lf52-271a04aa,3,11,11,36,83433,575.9,66,509.9,5608.6
lf52-271a04aa,4,4,4,19,87480,569,66,503,2012
lp85-305b61c3,0,8,8,31,80853,620.2,66,554.2,4434.0
lp85-305b61c3,1,5,5,16,79641,624.2,66,558.2,2791.2
lp85-305b61c3,2,6,6,29,90422,624.5,66,558.5,3351.0
lp85-305b61c3,3,8,9,35,91152,600,66,534,4272
lp85-305b61c3,4,6,6,25,101459,624.8,66,558.8,3352.5
ls20-9607627b,0,6,6,19,67921,542.5,66,476.5,2859.0
ls20-9607627b,1,8,8,27,80341,513.6,66,447.6,3581.0
ls20-9607627b,2,7,8,36,106502,544,66,478,3346
ls20-9607627b,3,6,7,31,90907,541.6,66,475.6,2853.8
ls20-9607627b,4,8,9,29,90153,527,66,461,3688
m0r0-492f87ba,0,9,9,32,89265,522.1,66,456.1,4105.1
m0r0-492f87ba,1,8,8,33,93449,497.8,66,431.8,3454.0
m0r0-492f87ba,2,8,8,33,92154,520.5,66,454.5,3636.0
m0r0-492f87ba,3,9,10,44,92415,511.1,66,445.1,4006.1
m0r0-492f87ba,4,6,6,25,101249,510.1,66,444.1,2664.8
r11l-495a7899,0,4,4,13,84207,744.6,66,678.6,2714.5
r11l-495a7899,1,10,10,33,83480,696,66,630,6300
r11l-495a7899,2,5,5,20,87654,663.6,66,597.6,2988.1
r11l-495a7899,3,9,9,28,87436,640,66,574,5166
r11l-495a7899,4,5,5,16,79549,709.6,66,643.6,3218.1
re86-8af5384d,0,6,6,19,99674,522.9,66,456.9,2741.2
re86-8af5384d,1,8,8,23,77608,559.5,66,493.5,3948.0
re86-8af5384d,2,8,8,27,103389,571.2,66,505.2,4042.0
re86-8af5384d,3,5,5,16,91896,561.6,66,495.6,2478.1
re86-8af5384d,4,5,5,22,98038,448.8,66,382.8,1913.8
s5i5-18d95033,0,5,5,22,88105,505.1,66,439.1,2195.6
s5i5-18d95033,1,5,5,16,86637,480.2,66,414.2,2071.2
s5i5-18d95033,2,5,5,18,92017,478.2,66,412.2,2061.2
s5i5-18d95033,3,5,5,16,91233,480,66,414,2070
s5i5-18d95033,4,5,5,20,81826,455.2,66,389.2,1946.2
sb26-7fbdac44,0,6,6,25,107502,625.2,66,559.2,3355.5
sb26-7fbdac44,1,8,8,29,90350,635.5,66,569.5,4556.0
sb26-7fbdac44,2,3,3,10,88269,624.9,66,558.9,1676.6
sb26-7fbdac44,3,8,8,33,87610,624,66,558,4464
sb26-7fbdac44,4,5,5,20,93876,620.6,66,554.6,2773.1
sc25-635fd71a,0,16,16,61,82719,494.9,66,428.9,6862.0
sc25-635fd71a,1,8,8,35,94644,522.8,66,456.8,3654.0
sc25-635fd71a,2,8,8,29,102479,516.4,66,450.4,3603.0
sc25-635fd71a,3,10,10,31,97911,526.6,66,460.6,4606.2
sc25-635fd71a,4,9,9,38,87228,522.2,66,456.2,4106.2
sk48-d8078629,0,7,7,20,82359,507.5,66,441.5,3090.5
sk48-d8078629,1,7,7,20,91761,506.8,66,440.8,3085.2
sk48-d8078629,2,5,5,22,97039,509.1,66,443.1,2215.6
sk48-d8078629,3,4,4,11,90792,507,66,441,1764
sk48-d8078629,4,5,5,14,79883,507.5,66,441.5,2207.5
sp80-589a99af,0,7,7,22,89368,424.2,66,358.2,2507.8
sp80-589a99af,1,5,5,14,94984,427,66,361,1805
sp80-589a99af,2,7,7,20,94372,426.6,66,360.6,2524.4
sp80-589a99af,3,10,10,31,85803,429.4,66,363.4,3633.8
sp80-589a99af,4,10,10,29,96049,417.2,66,351.2,3512.5
su15-1944f8ab,0,9,9,28,90962,352.2,66,286.2,2576.2
su15-1944f8ab,1,4,4,19,95893,366.8,66,300.8,1203.0
su15-1944f8ab,2,9,9,26,91976,348.1,66,282.1,2539.1
su15-1944f8ab,3,8,8,27,92774,364.8,66,298.8,2390.0
su15-1944f8ab,4,6,6,21,97041,357,66,291,1746
tn36-ef4dde99,0,9,9,30,106263,484.4,66,418.4,3765.4
tn36-ef4dde99,1,7,8,34,90828,622.4,66,556.4,3894.6
tn36-ef4dde99,2,18,18,53,71591,483.5,66,417.5,7515.0
tn36-ef4dde99,3,7,7,22,96519,485,66,419,2933
tn36-ef4dde99,4,9,9,28,85989,611.9,66,545.9,4912.9
tr87-cd924810,0,5,5,16,96105,750.4,66,684.4,3421.9
tr87-cd924810,1,10,10,39,83787,752.6,66,686.6,6866.2
tr87-cd924810,2,6,6,21,104507,753.9,66,687.9,4127.2
tr87-cd924810,3,5,5,18,89479,787.6,66,721.6,3608.1
tr87-cd924810,4,7,7,22,84642,785.6,66,719.6,5037.4
tu93-0768757b,0,4,4,15,70573,361.9,66,295.9,1183.5
tu93-0768757b,1,6,6,21,105869,346,66,280,1680
tu93-0768757b,2,4,4,13,94441,359.9,66,293.9,1175.5
tu93-0768757b,3,6,6,19,96089,386.6,66,320.6,1923.8
tu93-0768757b,4,5,5,14,93101,348.6,66,282.6,1413.1
vc33-5430563c,0,5,5,16,81163,481.4,66,415.4,2076.9
vc33-5430563c,1,5,5,20,98095,489,66,423,2115
vc33-5430563c,2,8,8,25,88852,461.4,66,395.4,3163.0
vc33-5430563c,3,5,6,22,91867,489.9,66,423.9,2119.4
vc33-5430563c,4,7,7,24,91240,487.2,66,421.2,2948.8
wa30-ee6fef47,0,13,13,42,87201,458.8,66,392.8,5105.8
wa30-ee6fef47,1,6,6,19,85327,460.9,66,394.9,2369.2
wa30-ee6fef47,2,8,8,29,95451,445,66,379,3032
wa30-ee6fef47,3,6,6,25,96778,462.4,66,396.4,2378.2
wa30-ee6fef47,4,6,6,21,88624,471.2,66,405.2,2431.5
